All Dates and Details Purchases by Product/Service,,,,,,,,,,,,
"Norris Utilities, LLC",,,,,,,,,,,,
All Dates,,,,,,,,,,,,

,Transaction date,Transaction type,Num,Vendor,Memo/Description,Quantity,Rate,Amount,Balance,SKU,Full name,Product/Service full name
,05/01/2025,Bill,,Aaron Norris / Norris Utilities,Monthly Fee - Excluding Expenses,,,"-3,000.00","-25,582,658.03",,Bay Shore Systems Retained Independent Rep. Fee,
,05/02/2025,Expense,,QuickBooks Payments,INTUIT *QBooks Online,1.00,,107.42,"-25,582,550.61",,Computer Expense,
,05/03/2025,Expense,,Chase Credit Card,APPLE.COM/BILL,1.00,,6.99,"-25,582,543.62",,Computer Expense,
,05/03/2025,Expense,,RaceTrac,RACETRAC2314 XXXX3143,1.00,,49.53,"-25,582,494.09",,Vehicle Expense - Fuel,
,05/03/2025,Expense,,Circle K,CIRCLE K X6716,1.00,,41.93,"-25,582,452.16",,Vehicle Expense - Fuel,
,05/05/2025,Expense,,Aaron Norris / Norris Utilities,SHELL OIL XXXXXXX4012,1.00,,13.84,"-25,582,438.32",,Vehicle Expense - Fuel,
,05/05/2025,Expense,,Aaron Norris / Norris Utilities,SHELL OIL XXXXXXX4012,1.00,,49.06,"-25,582,389.26",,Vehicle Expense - Fuel,
,05/05/2025,Expense,,Aaron Norris / Norris Utilities,SHELL OIL XXXXXXX4012,1.00,,68.59,"-25,582,320.67",,Vehicle Expense - Fuel,
,05/06/2025,Expense,,UPS,THE UPS STORE 0255,1.00,,58.36,"-25,582,262.31",,Office expenses:Shipping & postage,
,05/06/2025,Expense,,UPS,THE UPS STORE 0255,1.00,,56.07,"-25,582,206.24",,Office expenses:Shipping & postage,
,05/06/2025,Expense,,UPS,THE UPS STORE 0255,1.00,,24.41,"-25,582,181.83",,Office expenses:Shipping & postage,
,05/06/2025,Expense,,,PMT*JEFF CO AL REVNUE TAG,1.00,,"1,106.88","-25,581,074.95",,Taxes paid,
,05/07/2025,Payment,Inv. 1348,,,,,-277.67,"-25,581,352.62",,Accounts Receivable (A/R),
,05/07/2025,Payment,,,,,,-516.00,"-25,581,868.62",,Accounts Receivable (A/R),
,05/07/2025,Payment,,,,,,"-1,110.00","-25,582,978.62",,Accounts Receivable (A/R),
,05/07/2025,Deposit,,,,,,-277.67,"-25,583,256.29",,Payments to deposit,
,05/07/2025,Deposit,,,Paid via QuickBooks Payments: Payment ID 075889,,,-516.00,"-25,583,772.29",,Payments to deposit,
,05/07/2025,Deposit,,,Paid via QuickBooks Payments: Payment ID 017898,,,"-1,110.00","-25,584,882.29",,Payments to deposit,
,05/07/2025,Expense,,QuickBooks Payments,"System-recorded fee for QuickBooks Payments. Fee-name: DiscountRateFee, fee-type: Daily.",,,58.34,"-25,584,823.95",,QuickBooks Payments Fees,
,05/07/2025,Check,28,Lisa Norris,CHECK PAID,1.00,,"2,208.77","-25,582,615.18",,Interest paid,
,05/08/2025,Expense,,Google,GOOGLE *Google One,1.00,,2.99,"-25,582,612.19",,Computer Expense,
,05/08/2025,Expense,,Chase Credit Card,APPLE.COM/BILL,1.00,,29.99,"-25,582,582.20",,Computer Expense,
,05/08/2025,Deposit,,Bay Shore Systems,ACH CREDIT RECEIVED BAY SHORE SYSTEM TRADE PAY *INV#4*250427*3000.00*US\,,,"3,000.00","-25,579,582.20",,Consulting Income,
,05/08/2025,Expense,,,PREAUTHORIZED WITHDRAWAL BIRMINGHAM TAX BRMNGHMTAX 250508,1.00,,61.40,"-25,579,520.80",,Taxes paid,
,05/10/2025,Expense,,UPS,THE UPS STORE 0255,1.00,,38.10,"-25,579,482.70",,Office expenses:Shipping & postage,
,05/12/2025,Expense,,Chase Credit Card,APPLE.COM/BILL,1.00,,13.77,"-25,579,468.93",,Computer Expense,
,05/13/2025,Expense,,Stamps.com,STAMPS.COM,1.00,,20.99,"-25,579,447.94",,Office expenses:Shipping & postage,
,05/14/2025,Expense,,Aaron Norris / Norris Utilities,SHELL OIL XXXXXXX4012,1.00,,61.09,"-25,579,386.85",,Vehicle Expense - Fuel,
,05/14/2025,Expense,,,PREAUTHORIZED WITHDRAWAL STATE OF LOUISIA EPOSPYMNTS TXP*XXXXXX8001*04101*250331*T*12995*Z*250 513*TAPXXXXXX6832-250513\,1.00,,129.95,"-25,579,256.90",,Taxes paid,
,05/15/2025,Check,1086,Boss Products,CHECK PAID,1.00,,"13,148.55","-25,566,108.35",,Cost of goods sold,
,05/15/2025,Check,1087,Steel City Creative,CHECK PAID,1.00,,"2,931.46","-25,563,176.89",,Advertising & marketing,
,05/16/2025,Expense,,Aaron Norris / Norris Utilities,SHELL OIL XXXXXXX9006,1.00,,3.59,"-25,563,173.30",,Vehicle Expense - Fuel,
,05/16/2025,Payment,,,,,,-573.70,"-25,563,747.00",,Accounts Receivable (A/R),
,05/19/2025,Expense,,Hampton Inn,HAMPTON INNS,1.00,,459.18,"-25,563,287.82",,Travel,
,05/19/2025,Expense,,UPS,THE UPS STORE 0255,1.00,,41.57,"-25,563,246.25",,Office expenses:Shipping & postage,
,05/19/2025,Expense,,Circle K,CIRCLE K # X3238,1.00,,56.00,"-25,563,190.25",,Vehicle Expense - Fuel,
,05/19/2025,Expense,,Circle K,CIRCLE K # X3238,1.00,,14.09,"-25,563,176.16",,Vehicle Expense - Fuel,
,05/19/2025,Expense,,SunPass,SUNPASS*ACCXXXXX9554,1.00,,5.96,"-25,563,170.20",,Travel,
,05/19/2025,Expense,,,TST*LA SANTA DTR,1.00,,39.47,"-25,563,130.73",,Meals,
,05/19/2025,Expense,,Love's Country Stores,LOVE'S #0311 OUTSIDE,1.00,,61.06,"-25,563,069.67",,Vehicle Expense - Fuel,
,05/20/2025,Expense,,Speedway,SPEEDWAY X4648,1.00,,11.80,"-25,563,057.87",,Vehicle Expense - Fuel,
,05/20/2025,Expense,,,SAMMYS TAP & GRILL,1.00,,42.64,"-25,563,015.23",,Meals,
,05/21/2025,Payment,,,,,,-302.84,"-25,563,318.07",,Accounts Receivable (A/R),
,05/21/2025,Deposit,,,Paid via QuickBooks Payments: Payment ID 088595,,,-302.84,"-25,563,620.91",,Payments to deposit,
,05/21/2025,Expense,,QuickBooks Payments,"System-recorded fee for QuickBooks Payments. Fee-name: DiscountRateFee, fee-type: Daily.",,,9.05,"-25,563,611.86",,QuickBooks Payments Fees,
,05/21/2025,Expense,,,Spectrum,1.00,,108.00,"-25,563,503.86",,Utilities:Internet & TV services,
,05/21/2025,Expense,,Exxon,EXXON REFUEL 102,1.00,,60.81,"-25,563,443.05",,Vehicle Expense - Fuel,
,05/21/2025,Expense,,Exxon,EXXON REFUEL 102,1.00,,3.73,"-25,563,439.32",,Vehicle Expense - Fuel,
,05/21/2025,Expense,,,QT 1048,1.00,,3.02,"-25,563,436.30",,Vehicle Expense - Fuel,
,05/21/2025,Expense,,,PREAUTHORIZED WITHDRAWAL AL ONESPOT TAX Alabama.go 250521 XXXXXXXX93318,1.00,,28.78,"-25,563,407.52",,Taxes paid,
,05/21/2025,Expense,,Mississippi Dept of Revenue,PREAUTHORIZED WITHDRAWAL MSDEPTOFREVENUE TAXPAYMENT 250521 M952807808,1.00,,"3,804.20","-25,559,603.32",,Taxes paid,
,05/21/2025,Expense,,Alabama Dept of Revenue,PREAUTHORIZED WITHDRAWAL AL-DEPT OF REV DIRECT DBT 250521 397748032,1.00,,57.57,"-25,559,545.75",,Taxes paid,
,05/21/2025,Expense,,,PREAUTHORIZED WITHDRAWAL CADSHRSALEUSETAX SALES TAX 250521,1.00,,277.10,"-25,559,268.65",,Taxes paid,
,05/21/2025,Expense,,,PREAUTHORIZED WITHDRAWAL RPPJ SALES TAX SALES TAX 250521,1.00,,41.00,"-25,559,227.65",,Taxes paid,
,05/21/2025,Expense,,,PREAUTHORIZED WITHDRAWAL STATE OF LOUISIA EPOSPYMNTS TXP*XXXXXX8001*04101*250430*T*44900*Z*250 520*TAPXXXXXX1648-250507\,1.00,,449.00,"-25,558,778.65",,Taxes paid,
,05/21/2025,Expense,,Publix,PUBLIX #1412,1.00,,45.64,"-25,558,733.01",,Office expenses:Office supplies,
,05/22/2025,Expense,,Spotify,Spotify USA,1.00,,18.35,"-25,558,714.66",,Computer Expense,
,05/22/2025,Expense,,Aaron Norris / Norris Utilities,SHELL OIL XXXXXXX2702,1.00,,64.05,"-25,558,650.61",,Vehicle Expense - Fuel,
,05/22/2025,Expense,,Aaron Norris / Norris Utilities,SHELL OIL XXXXXXX2702,1.00,,9.55,"-25,558,641.06",,Vehicle Expense - Fuel,
,05/22/2025,Expense,,Circle K,CIRCLE K # X3809,1.00,,61.41,"-25,558,579.65",,Vehicle Expense - Fuel,
,05/22/2025,Expense,,,SOUTHERN CONNECTOR TOLL,1.00,,2.25,"-25,558,577.40",,Travel,
,05/22/2025,Expense,,,SOUTHERN CONNECTOR TOLL,1.00,,2.25,"-25,558,575.15",,Travel,
,05/22/2025,Expense,,,LA CABANA MEXICAN RESTAUR,1.00,,28.22,"-25,558,546.93",,Meals,
,05/22/2025,Expense,,,PREAUTHORIZED WITHDRAWAL SALES TAX CLEARI SALES TAX 250522,1.00,,73.68,"-25,558,473.25",,Taxes paid,
,05/23/2025,Payment,,,,,,-286.45,"-25,558,759.70",,Accounts Receivable (A/R),
,05/23/2025,Deposit,,,Paid via QuickBooks Payments: Payment ID 089257,,,-286.45,"-25,559,046.15",,Payments to deposit,
,05/23/2025,Expense,,QuickBooks Payments,"System-recorded fee for QuickBooks Payments. Fee-name: DiscountRateFee, fee-type: Daily.",,,8.56,"-25,559,037.59",,QuickBooks Payments Fees,
,05/23/2025,Expense,,Chase Credit Card,APPLE.COM/BILL,1.00,,9.99,"-25,559,027.60",,Computer Expense,
,05/24/2025,Credit Card Credit,,,AUTOMATIC PAYMENT - THANK,1.00,,"2,346.84","-25,556,680.76",,Norris Utilities Chase Ink Credit Card,
,05/25/2025,Expense,,,UA.COM*XXX-XXX-6687 MD,-1.00,,-136.60,"-25,556,817.36",,Owner draws,
,05/25/2025,Expense,,,REMARKABLE,1.00,,3.29,"-25,556,814.07",,Office expenses:Office supplies,
,05/26/2025,Expense,,,UA.COM*XXX-XXX-6687 MD,-1.00,,-19.50,"-25,556,833.57",,Owner draws,
,05/27/2025,Payment,,,,,,-520.90,"-25,557,354.47",,Accounts Receivable (A/R),
,05/27/2025,Payment,,,,,,-245.00,"-25,557,599.47",,Accounts Receivable (A/R),
,05/27/2025,Payment,,,,,,,"-25,557,599.47",,Accounts Receivable (A/R),
,05/27/2025,Expense,,,PREAUTHORIZED WITHDRAWAL CHASE CREDIT CRD AUTOPAYBUS 250527,-1.00,,"-2,346.84","-25,559,946.31",,Norris Utilities Chase Ink Credit Card,
,05/27/2025,Expense,,,CPH LIABILITY INSURANC,1.00,,176.00,"-25,559,770.31",,Insurance,
,05/27/2025,Expense,,,WMBG EVENT RENTALS,1.00,,621.80,"-25,559,148.51",,Trade Show Expense,
,05/28/2025,Payment,,,,,,"-1,045.00","-25,560,193.51",,Accounts Receivable (A/R),
,05/28/2025,Expense,,,FSP*BIRMINGHAM DISTRICT B,1.00,,19.40,"-25,560,174.11",,Meals,
,05/28/2025,Expense,,,HALLMARK CDJR BIRMINGHAM,1.00,,100.62,"-25,560,073.49",,Office expenses:Office supplies,
,05/30/2025,Payment,,,,,,-776.50,"-25,560,849.99",,Accounts Receivable (A/R),
,05/30/2025,Deposit,,,Paid via QuickBooks Payments: Payment ID 041104,,,-776.50,"-25,561,626.49",,Payments to deposit,
,05/30/2025,Expense,,QuickBooks Payments,"System-recorded fee for QuickBooks Payments. Fee-name: DiscountRateFee, fee-type: Daily.",,,23.22,"-25,561,603.27",,QuickBooks Payments Fees,
,05/30/2025,Expense,,UPS,THE UPS STORE 0255,1.00,,53.14,"-25,561,550.13",,Office expenses:Shipping & postage,
,05/30/2025,Payment,,,,,,"-1,420.00","-25,562,970.13",,Accounts Receivable (A/R),
,05/30/2025,Payment,,,,,,-820.00,"-25,563,790.13",,Accounts Receivable (A/R),
,05/30/2025,Payment,,,,,,"-1,730.00","-25,565,520.13",,Accounts Receivable (A/R),
,05/30/2025,Payment,,,,,,"-1,370.00","-25,566,890.13",,Accounts Receivable (A/R),
,05/30/2025,Expense,,Circle K,CIRCLE K # X3817,1.00,,65.68,"-25,566,824.45",,Vehicle Expense - Fuel,
,05/30/2025,Expense,,Circle K,CIRCLE K # X3817,1.00,,58.76,"-25,566,765.69",,Vehicle Expense - Fuel,
,05/30/2025,Expense,,,Utopia Cleaners - Cahaba,1.00,,65.45,"-25,566,700.24",,Laundry & Uniforms,
,05/30/2025,Expense,,,MEXICO LINDO BAR AND G,1.00,,28.83,"-25,566,671.41",,Meals,
,05/30/2025,Expense,,UPS,THE UPS STORE 0255,1.00,,258.00,"-25,566,413.41",,Office expenses:Shipping & postage,
,05/30/2025,Expense,,UPS,THE UPS STORE 0255,1.00,,59.94,"-25,566,353.47",,Office expenses:Shipping & postage,
,05/30/2025,Expense,,UPS,THE UPS STORE 0255,1.00,,24.64,"-25,566,328.83",,Office expenses:Shipping & postage,
,05/30/2025,Expense,,Chevron,CHEVRON XXX4650,1.00,,7.56,"-25,566,321.27",,Vehicle Expense - Fuel,
,05/31/2025,Expense,,BP,BP#XXX0712BP HOLLINS FOO,1.00,,60.05,"-25,566,261.22",,Vehicle Expense - Fuel,
,05/31/2025,Expense,,BP,BP#XXX0712BP HOLLINS FOO,1.00,,6.33,"-25,566,254.89",,Vehicle Expense - Fuel,
,05/31/2025,Expense,,Circle K,CIRCLE K # X3626,1.00,,61.11,"-25,566,193.78",,Vehicle Expense - Fuel,
,05/31/2025,Expense,,,LA CARRETA MEXICAN RESTAU,1.00,,59.82,"-25,566,133.96",,Meals,
,05/31/2025,Expense,,,HONEY WHYTES,1.00,,82.27,"-25,566,051.69",,Meals,
,06/01/2025,Bill,,Aaron Norris / Norris Utilities,Monthly Fee - Excluding Expenses,,,"-3,000.00","-25,569,051.69",,Bay Shore Systems Retained Independent Rep. Fee,
,06/01/2025,Expense,,,FARM FRESH RICHMOND,1.00,,7.44,"-25,569,044.25",,Meals,
,06/01/2025,Expense,,Aaron Norris / Norris Utilities,SHELL OIL XXXXXXX6842,1.00,,10.58,"-25,569,033.67",,Vehicle Expense - Fuel,
,06/02/2025,Payment,,,,,,"-2,122.20","-25,571,155.87",,Accounts Receivable (A/R),
,06/02/2025,Deposit,,,Paid via QuickBooks Payments: Payment ID 067614,,,"-2,122.20","-25,573,278.07",,Payments to deposit,
,06/02/2025,Expense,,QuickBooks Payments,"System-recorded fee for QuickBooks Payments. Fee-name: DiscountRateFee, fee-type: Daily.",,,63.45,"-25,573,214.62",,QuickBooks Payments Fees,
,06/02/2025,Check,1088,Aaron Norris - Personal,reimbursement,1.00,,750.00,"-25,572,464.62",,Office expenses,
,06/02/2025,Check,1088,Aaron Norris - Personal,reimbursement,,,750.00,"-25,571,714.62",,Travel,
,06/02/2025,Expense,,Sunoco,SUNOCO XXXXXX4200,1.00,,7.67,"-25,571,706.95",,Vehicle Expense - Fuel,
,06/03/2025,Check,1089,Zoe Christie,CHECK PAID babysitting,-1.00,,-80.00,"-25,571,786.95",,Owner draws,
,06/03/2025,Expense,,Aaron Norris / Norris Utilities,SHELL OIL XXXXXXX6842,1.00,,60.77,"-25,571,726.18",,Vehicle Expense - Fuel,
,06/03/2025,Expense,,Aaron Norris / Norris Utilities,SHELL OIL XXXXXXX6842,1.00,,16.01,"-25,571,710.17",,Vehicle Expense - Fuel,
,06/03/2025,Expense,,QuickBooks Payments,INTUIT *QBooks Online,1.00,,107.42,"-25,571,602.75",,QuickBooks Payments Fees,
,06/03/2025,Expense,,,CARQUEST OF WILLIAMS,1.00,,23.52,"-25,571,579.23",,Auto Repairs & Maintenance,
,06/03/2025,Expense,,Lyft,LYFT *RIDE TUE 12PM,1.00,,12.26,"-25,571,566.97",,Travel,
,06/03/2025,Expense,,,WILLIAMSBURG LGD AUTOG,1.00,,591.76,"-25,570,975.21",,Vehicle Expense - Fuel,
,06/04/2025,Expense,,,PREAUTHORIZED WITHDRAWAL BIRMINGHAM TAX BRMNGHMTAX 250604,1.00,,77.67,"-25,570,897.54",,Taxes paid,
,06/04/2025,Expense,,,DISCOUNT-TIRE-CO VAB 05,1.00,,511.09,"-25,570,386.45",,Auto Repairs & Maintenance,
,06/04/2025,Credit Card Credit,,,WILLIAMSBURG LGD AUTOG,-1.00,,-2.00,"-25,570,388.45",,Travel,
,06/04/2025,Expense,,Aaron Norris / Norris Utilities,SHELL OIL XXXXXXX2505,1.00,,61.33,"-25,570,327.12",,Vehicle Expense - Fuel,
,06/04/2025,Expense,,Aaron Norris / Norris Utilities,SHELL OIL XXXXXXX2505,1.00,,23.88,"-25,570,303.24",,Vehicle Expense - Fuel,
,06/04/2025,Expense,,Zaxby's,ZAXBYS 1129,1.00,,19.76,"-25,570,283.48",,Meals,
,06/04/2025,Expense,,Zaxby's,ZAXBYS 1129,1.00,,3.16,"-25,570,280.32",,Meals,
,06/04/2025,Expense,,Love's Country Stores,LOVE'S #0861 OUTSIDE,1.00,,49.61,"-25,570,230.71",,Vehicle Expense - Fuel,
,06/05/2025,Expense,,Circle K,CIRCLE K # X3809,1.00,,41.55,"-25,570,189.16",,Vehicle Expense - Fuel,
,06/05/2025,Expense,,,SQ *THE CRAFT BURGER,1.00,,40.22,"-25,570,148.94",,Meals,
,06/06/2025,Expense,,Raceway,RACEWAY 6824 XXXX8248,1.00,,42.93,"-25,570,106.01",,Vehicle Expense - Fuel,
,06/06/2025,Expense,,UPS,THE UPS STORE 0255,1.00,,32.11,"-25,570,073.90",,Office expenses:Shipping & postage,
,06/06/2025,Expense,,UPS,THE UPS STORE 0255,1.00,,24.64,"-25,570,049.26",,Office expenses:Shipping & postage,
,06/08/2025,Expense,,Google,GOOGLE *Google One,1.00,,2.99,"-25,570,046.27",,Computer Expense,
,06/08/2025,Expense,,Chase Credit Card,APPLE.COM/BILL,1.00,,29.99,"-25,570,016.28",,Computer Expense,
,06/09/2025,Payment,,,,,,-482.00,"-25,570,498.28",,Accounts Receivable (A/R),
,06/09/2025,Payment,,,,,,-521.50,"-25,571,019.78",,Accounts Receivable (A/R),
,06/09/2025,Payment,,,,,,"-1,206.60","-25,572,226.38",,Accounts Receivable (A/R),
,06/09/2025,Deposit,,,,,,-482.00,"-25,572,708.38",,Payments to deposit,
,06/09/2025,Deposit,,,Paid via QuickBooks Payments: Payment ID 011547,,,-521.50,"-25,573,229.88",,Payments to deposit,
,06/09/2025,Deposit,,,Paid via QuickBooks Payments: Payment ID 004610,,,"-1,206.60","-25,574,436.48",,Payments to deposit,
,06/09/2025,Expense,,QuickBooks Payments,"System-recorded fee for QuickBooks Payments. Fee-name: DiscountRateFee, fee-type: Daily.",,,68.54,"-25,574,367.94",,QuickBooks Payments Fees,
,06/09/2025,Bill,,"REELSTRONG, LLC",Opening Balance,,,"16,894.77","-25,557,473.17",,Cost of goods sold,
,06/09/2025,Check,29,,CHECK PAID,1.00,,"2,208.77","-25,555,264.40",,Interest paid,
,06/09/2025,Deposit,160061964,,income/commission for rental deal through another company and this was what he was paid for deal,1.00,,600.00,"-25,554,664.40",,Rental Revenue,
,06/10/2025,Payment,,,,,,-276.57,"-25,554,940.97",,Accounts Receivable (A/R),
,06/10/2025,Deposit,,,Paid via QuickBooks Payments: Payment ID 046262,,,-276.57,"-25,555,217.54",,Payments to deposit,
,06/10/2025,Expense,,QuickBooks Payments,"System-recorded fee for QuickBooks Payments. Fee-name: DiscountRateFee, fee-type: Daily.",,,8.27,"-25,555,209.27",,QuickBooks Payments Fees,
,06/10/2025,Expense,,UPS,THE UPS STORE 0255,1.00,,39.01,"-25,555,170.26",,Office expenses:Shipping & postage,
,06/10/2025,Expense,,Circle K,CIRCLE K # X3827,1.00,,61.51,"-25,555,108.75",,Vehicle Expense - Fuel,
,06/10/2025,Expense,,Circle K,CIRCLE K # X3827,1.00,,38.79,"-25,555,069.96",,Vehicle Expense - Fuel,
,06/10/2025,Expense,,,TROPICAL SMOOTHIE CAFE AL,1.00,,16.65,"-25,555,053.31",,Meals,
,06/10/2025,Credit Card Credit,,,UA.COM*XXX-XXX-6687 MD,1.00,,39.01,"-25,555,014.30",,Owner draws,
,06/12/2025,Expense,,Chase Credit Card,APPLE.COM/BILL,1.00,,13.77,"-25,555,000.53",,Computer Expense,
,06/13/2025,Expense,,Stamps.com,STAMPS.COM,1.00,,20.99,"-25,554,979.54",,Office expenses:Shipping & postage,
,06/17/2025,Expense,,Raceway,RACEWAY 6819 XXXX8197,1.00,,45.93,"-25,554,933.61",,Vehicle Expense - Fuel,
,06/17/2025,Expense,,Raceway,RACEWAY 6819 XXXX8197,1.00,,2.93,"-25,554,930.68",,Vehicle Expense - Fuel,
,06/17/2025,Expense,,UPS,THE UPS STORE 0255,1.00,,81.50,"-25,554,849.18",,Office expenses:Shipping & postage,
,06/17/2025,Expense,,UPS,THE UPS STORE 0255,1.00,,48.43,"-25,554,800.75",,Office expenses:Shipping & postage,
,06/17/2025,Expense,,Circle K,CIRCLE K # X4464,1.00,,60.65,"-25,554,740.10",,Vehicle Expense - Fuel,
,06/17/2025,Expense,,Circle K,CIRCLE K # X4464,1.00,,12.48,"-25,554,727.62",,Vehicle Expense - Fuel,
,06/17/2025,Expense,,BP,BP#XXX9315HASTY MART 25,1.00,,3.51,"-25,554,724.11",,Vehicle Expense - Fuel,
,06/17/2025,Expense,,,EL RIO GRANDE MEXICAN RES,1.00,,43.84,"-25,554,680.27",,Meals,
,06/17/2025,Expense,,,COUNTRY MART CITGO,1.00,,6.17,"-25,554,674.10",,Vehicle Expense - Fuel,
,06/18/2025,Deposit,,Bay Shore Systems,ACH CREDIT RECEIVED BAY SHORE SYSTEM TRADE PAY *5*250610*3956.10*US\,,,"3,000.00","-25,551,674.10",,Consulting Income,
,06/18/2025,Deposit,,,ACH CREDIT RECEIVED BAY SHORE SYSTEM TRADE PAY *5*250610*3956.10*US\,,,-956.10,"-25,552,630.20",,Travel,
,06/18/2025,Expense,,Hampton Inn,HAMPTON INN GOLDSBORO,1.00,,147.20,"-25,552,483.00",,Travel,
,06/18/2025,Expense,,Circle K,CIRCLE K # X0927,1.00,,58.82,"-25,552,424.18",,Vehicle Expense - Fuel,
,06/18/2025,Expense,,Circle K,CIRCLE K # X0927,1.00,,7.02,"-25,552,417.16",,Vehicle Expense - Fuel,
,06/18/2025,Expense,,Dollar Tree,DOLLAR TREE,1.00,,10.26,"-25,552,406.90",,Office expenses:Office supplies,
,06/18/2025,Expense,,BP,BP#XXX9315HASTY MART 25,1.00,,7.02,"-25,552,399.88",,Vehicle Expense - Fuel,
,06/18/2025,Expense,,Hampton Inn,HAMPTON INN GOLDSBORO,1.00,,148.67,"-25,552,251.21",,Travel,
,06/18/2025,Expense,,Chili's,CHILIS GOLDSBORO,1.00,,23.43,"-25,552,227.78",,Meals,
,06/19/2025,Expense,,Aaron Norris / Norris Utilities,SHELL OILXXXXXXX5014,1.00,,64.08,"-25,552,163.70",,Vehicle Expense - Fuel,
,06/19/2025,Expense,,Exxon,EXXON PANTRY PLUS,1.00,,10.48,"-25,552,153.22",,Vehicle Expense - Fuel,
,06/19/2025,Expense,,Circle K,CIRCLE K # X4464,1.00,,59.11,"-25,552,094.11",,Vehicle Expense - Fuel,
,06/19/2025,Expense,,,QT 1709 INSIDE,1.00,,5.54,"-25,552,088.57",,Vehicle Expense - Fuel,
,06/19/2025,Expense,,Raceway,RACEWAY 726 XXXX7264,1.00,,54.17,"-25,552,034.40",,Vehicle Expense - Fuel,
,06/19/2025,Expense,,,2005 - T2P - SCBD1,1.00,,6.45,"-25,552,027.95",,Vehicle Expense - Fuel,
,06/19/2025,Expense,,,TST*ANNE BONNYS - WILMI,1.00,,52.33,"-25,551,975.62",,Meals,
,06/19/2025,Expense,,,T MAC 025,1.00,,24.61,"-25,551,951.01",,Meals,
,06/20/2025,Payment,,,,,,"-2,252.00","-25,554,203.01",,Accounts Receivable (A/R),
,06/20/2025,Deposit,,,,,,"-2,252.00","-25,556,455.01",,Payments to deposit,
,06/20/2025,Expense,,QuickBooks Payments,"System-recorded fee for QuickBooks Payments. Fee-name: DiscountRateFee, fee-type: Daily.",,,78.82,"-25,556,376.19",,QuickBooks Payments Fees,
,06/20/2025,Expense,,,OPENAI *CHATGPT SUBSCR,1.00,,21.20,"-25,556,354.99",,Dues & Subscriptions,
,06/21/2025,Expense,,,Spectrum,1.00,,108.00,"-25,556,246.99",,Utilities:Internet & TV services,
,06/22/2025,Expense,,Spotify,Spotify USA,1.00,,18.35,"-25,556,228.64",,Computer Expense,
,06/23/2025,Check,1090,,CHECK PAID,1.00,,350.23,"-25,555,878.41",,Advertising & marketing,
,06/23/2025,Expense,,,PREAUTHORIZED WITHDRAWAL RPPJ SALES TAX SALES TAX 250623,1.00,,24.60,"-25,555,853.81",,Taxes paid,
,06/23/2025,Expense,,,PREAUTHORIZED WITHDRAWAL AL ONESPOT TAX Alabama.go 250623 XXXXXXXX20946,1.00,,36.58,"-25,555,817.23",,Taxes paid,
,06/23/2025,Expense,,Alabama Dept of Revenue,PREAUTHORIZED WITHDRAWAL AL-DEPT OF REV DIRECT DBT 250623 99997504,1.00,,73.15,"-25,555,744.08",,Taxes paid,
,06/23/2025,Expense,,Chase Credit Card,APPLE.COM/BILL,1.00,,9.99,"-25,555,734.09",,Computer Expense,
,06/24/2025,Check,1092,,CHECK PAID,1.00,,"21,470.00","-25,534,264.09",,Cost of goods sold,
,06/24/2025,Expense,,,PREAUTHORIZED WITHDRAWAL ELEC FUNDS ACCT ACH PMT TXP*XXXXXXXX01400*04101*250531*T*4100*Z*2 50603*TAP290298816*250620\,1.00,,41.00,"-25,534,223.09",,Taxes paid,
,06/24/2025,Expense,,UPS,THE UPS STORE 0255,1.00,,110.30,"-25,534,112.79",,Office expenses:Shipping & postage,
,06/24/2025,Expense,,UPS,THE UPS STORE 0255,1.00,,53.14,"-25,534,059.65",,Office expenses:Shipping & postage,
,06/25/2025,Check,1091,Boss Products,CHECK PAID,1.00,,"4,649.99","-25,529,409.66",,Cost of goods sold,
,06/25/2025,Expense,,,CASA FIESTA GRILL,1.00,,25.05,"-25,529,384.61",,Meals,
,06/25/2025,Expense,,,REMARKABLE,1.00,,3.29,"-25,529,381.32",,Office expenses:Office supplies,
,06/26/2025,Payment,,,,,,"-39,902.44","-25,569,283.76",,Accounts Receivable (A/R),
,06/26/2025,Deposit,,,Paid via QuickBooks Payments: Payment ID 086714,,,"-39,902.44","-25,609,186.20",,Payments to deposit,
,06/26/2025,Expense,,QuickBooks Payments,"System-recorded fee for QuickBooks Payments. Fee-name: DiscountRateFee, fee-type: Daily.",,,"1,193.08","-25,607,993.12",,QuickBooks Payments Fees,
,06/26/2025,Expense,,,PREAUTHORIZED WITHDRAWAL CHASE CREDIT CRD AUTOPAYBUS 250626,-1.00,,"-4,856.11","-25,612,849.23",,Norris Utilities Chase Ink Credit Card,
,06/30/2025,Journal Entry,107,,,,,"-17,924.78","-25,630,774.01",,"Norris Utilities, LLC Fleet Assets",
,06/30/2025,Journal Entry,107,,,,,900.00,"-25,629,874.01",,"Drop Ship ""Inventory""",
,06/30/2025,Journal Entry,107,,,,,-900.00,"-25,630,774.01",,Cost of goods sold,
,06/30/2025,Journal Entry,108,,,,,-65.36,"-25,630,839.37",,"Alabama, Jefferson County Payable",
,06/30/2025,Journal Entry,108,,,,,"-3,870.21","-25,634,709.58",,Mississippi Department of Revenue Payable,
,06/30/2025,Journal Entry,108,,,,,-815.63,"-25,635,525.21",,Louisiana Department of Revenue Payable,
,06/30/2025,Journal Entry,108,,,,,-5.84,"-25,635,531.05",,Alabama Department of Revenue Payable,
