Sales by Customer Detail,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Norris Utilities, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,
All Dates,,,,,,,,,,,,,,,,,,,,,,,,,,,

,Transaction date,Transaction type,Num,Product/Service full name,Description,Quantity,Sales price,Amount,Balance,Customer full name,Class full name,Customer/Vendor message,Full name,Location full name,Location,Product/Service,Ship date,Service date,Ship via,SKU,Tax amount,Tax inclusive amount,Tax name,Transaction type,REF #,Payment method,Item class
,02/26/2025,Invoice,1303,Credit Card Processing:Credit Card Processing Fee,4% Credit Card Processing Fee,1.00,110.00,110.00,"2,540.00",AEP - Joshua A. Lee,Credit Card Processing Fee,"PO: Verbal/EmailOrdered by: Joshua A. LeeTracking #2: 1Z2W49000356454258Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Credit Card Processing Fee Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",Credit Card Processing Fee,02/26/2025,,UPS,4%,0.00,,Tax Exempt,Invoice,,Credit Card,Credit Card Processing Fee
,02/26/2025,Invoice,1303,,Shipping,,,305.00,"2,845.00",AEP - Joshua A. Lee,,"PO: Verbal/EmailOrdered by: Joshua A. LeeTracking #2: 1Z2W49000356454258Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Shipping Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",,02/26/2025,,UPS,,,,,Invoice,,Credit Card,
Total for AEP - Joshua A. Lee,,,,,,13.00,,"$2,845.00",,,,,,,,,,,,,$0.00,,,,,,
AEP - Mr. Sammy Myers,,,,,,,,,,,,,,,,,,,,,,,,,,,
,03/06/2025,Invoice,1310,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""","FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",2.00,205.00,410.00,410.00,AEP - Mr. Sammy Myers,NU Sold Products,"PO: Verbal

Ordered by: Sammy Myers


Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!

*Credit Card Processing fee of 4% required for all Credit Card Payments*


        Integrity above all else. Business Partners, simplified.",Sales of Product Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA","FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",03/06/2025,03/06/2025,UPS,NU-BC-2834,0.00,,VA-Roanoke,Invoice,,Credit Card,NU Sold Products
,03/06/2025,Invoice,1310,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket and Upper Control Cover for D-Shape Transmission Bucket - 45"" x 77""","Collapsible Hard D-Shape Bucket & Upper Control Cover 45"" x 77""",1.00,875.00,875.00,"1,285.00",AEP - Mr. Sammy Myers,NU Sold Products,"PO: Verbal

Ordered by: Sammy Myers


Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!

*Credit Card Processing fee of 4% required for all Credit Card Payments*


        Integrity above all else. Business Partners, simplified.",Sales of Product Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA","FlexPro Armor Bucket and Upper Control Cover for D-Shape Transmission Bucket - 45"" x 77""",03/06/2025,,UPS,NU-BC-D4577,0.00,,VA-Roanoke,Invoice,,Credit Card,NU Sold Products
,03/06/2025,Invoice,1310,Credit Card Processing:Credit Card Processing Fee,4% Credit Card Processing Fee,1.00,60.00,60.00,"1,345.00",AEP - Mr. Sammy Myers,Credit Card Processing Fee,"PO: Verbal

Ordered by: Sammy Myers


Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!

*Credit Card Processing fee of 4% required for all Credit Card Payments*


        Integrity above all else. Business Partners, simplified.",Credit Card Processing Fee Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",Credit Card Processing Fee,03/06/2025,,UPS,4%,0.00,,VA-Roanoke,Invoice,,Credit Card,Credit Card Processing Fee
,03/06/2025,Invoice,1310,,Shipping,,,135.00,"1,480.00",AEP - Mr. Sammy Myers,,"PO: Verbal

Ordered by: Sammy Myers


Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!

*Credit Card Processing fee of 4% required for all Credit Card Payments*


        Integrity above all else. Business Partners, simplified.",Shipping Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",,03/06/2025,,UPS,,0.00,,VA-Roanoke,Invoice,,Credit Card,
,03/12/2025,Invoice,1314,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""","FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",2.00,205.00,410.00,"1,890.00",AEP - Mr. Sammy Myers,NU Sold Products,"PO: VerbalOrdered by: Sammy MyersThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Sales of Product Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA","FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",03/12/2025,03/12/2025,UPS,NU-BC-2834,0.00,,VA-Roanoke,Invoice,,,NU Sold Products
,03/12/2025,Invoice,1314,,Shipping,,,75.00,"1,965.00",AEP - Mr. Sammy Myers,,"PO: VerbalOrdered by: Sammy MyersThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Shipping Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",,03/12/2025,,UPS,,0.00,,VA-Roanoke,Invoice,,,
,03/12/2025,Invoice,1314,Credit Card Processing:Credit Card Processing Fee,4% Credit Card Processing Fee,1.00,20.00,20.00,"1,985.00",AEP - Mr. Sammy Myers,Credit Card Processing Fee,"PO: VerbalOrdered by: Sammy MyersThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Credit Card Processing Fee Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",Credit Card Processing Fee,03/12/2025,,UPS,4%,0.00,,VA-Roanoke,Invoice,,,Credit Card Processing Fee
,05/30/2025,Invoice,1359,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""","FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",3.00,195.00,585.00,"2,570.00",AEP - Mr. Sammy Myers,NU Sold Products,"PO: Verbal

Ordered by: Sammy Myers


Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!

*Credit Card Processing fee of 4% required for all Credit Card Payments*


        Integrity above all else. Business Partners, simplified.",Sales of Product Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA","FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",05/30/2025,,UPS,NU-BC-2834,0.00,,VA-Roanoke,Invoice,,Credit Card,NU Sold Products
,05/30/2025,Invoice,1359,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 2-Man Bucket - 28"" x 51""","FlexPro Armor Guard Bucket Cover for 2-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x51"". Hand Made in the USA.",3.00,215.00,645.00,"3,215.00",AEP - Mr. Sammy Myers,NU Sold Products,"PO: Verbal

Ordered by: Sammy Myers


Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!

*Credit Card Processing fee of 4% required for all Credit Card Payments*


        Integrity above all else. Business Partners, simplified.",Tooling Sales,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA","FlexPro Armor Bucket Cover for 2-Man Bucket - 28"" x 51""",05/30/2025,,UPS,NU-BC-2851,0.00,,VA-Roanoke,Invoice,,Credit Card,NU Sold Products
,05/30/2025,Invoice,1359,Credit Card Processing:Credit Card Processing Fee,4% Credit Card Processing Fee,1.00,53.00,53.00,"3,268.00",AEP - Mr. Sammy Myers,Credit Card Processing Fee,"PO: Verbal

Ordered by: Sammy Myers


Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!

*Credit Card Processing fee of 4% required for all Credit Card Payments*


        Integrity above all else. Business Partners, simplified.",Credit Card Processing Fee Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",Credit Card Processing Fee,05/30/2025,,UPS,4%,0.00,,VA-Roanoke,Invoice,,Credit Card,Credit Card Processing Fee
,05/30/2025,Invoice,1359,,Shipping,,,95.00,"3,363.00",AEP - Mr. Sammy Myers,,"PO: Verbal

Ordered by: Sammy Myers


Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!

*Credit Card Processing fee of 4% required for all Credit Card Payments*


        Integrity above all else. Business Partners, simplified.",Shipping Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",,05/30/2025,,UPS,,0.00,,VA-Roanoke,Invoice,,Credit Card,
Total for AEP - Mr. Sammy Myers,,,,,,14.00,,"$3,363.00",,,,,,,,,,,,,$0.00,,,,,,
AEP/SWEPCO - Shreveport,,,,,,,,,,,,,,,,,,,,,,,,,,,
,04/25/2023,Invoice,1024,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 2-Man Bucket - 28"" x 51""","***New Size*** Boss Products - 2-Man Bucket Cover, with 3 rigid panels. Size: 28""x51"" (Product Number: ""AC-BC2851"")",2.00,156.42,312.84,312.84,AEP/SWEPCO - Shreveport,NU Sold Products,"Customer PO SWEPCO/Verbal. This was delivered by Aaron Norris on April 4th, 2023. While there SWEPCO also purchased the ""Grunt Bag/Nose Bag"" that was in Aaron's possession. Thank you for your business and the opportunity to work with you! It is an, absolute, honor!",Tooling Sales,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA","FlexPro Armor Bucket Cover for 2-Man Bucket - 28"" x 51""",03/28/2023,04/04/2023,NDA,NU-BC-2851,13.93,,LA-Rapides-D079D3-D079FD18-D079LE-D079PT-D079SB,Invoice,,,NU Sold Products
,04/25/2023,Invoice,1024,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""","Boss Products - 1.5 Man Rigid 3 Panel Bucket Cover. Size: 28""x34"". (Product Number: ""AC-BC2834"")",2.00,120.50,241.00,553.84,AEP/SWEPCO - Shreveport,NU Sold Products,"Customer PO SWEPCO/Verbal. This was delivered by Aaron Norris on April 4th, 2023. While there SWEPCO also purchased the ""Grunt Bag/Nose Bag"" that was in Aaron's possession. Thank you for your business and the opportunity to work with you! It is an, absolute, honor!",Tooling Sales,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA","FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",03/28/2023,04/04/2023,NDA,NU-BC-2834,10.72,,LA-Rapides-D079D3-D079FD18-D079LE-D079PT-D079SB,Invoice,,,NU Sold Products
,04/25/2023,Invoice,1024,,Shipping,,,200.00,753.84,AEP/SWEPCO - Shreveport,,"Customer PO SWEPCO/Verbal. This was delivered by Aaron Norris on April 4th, 2023. While there SWEPCO also purchased the ""Grunt Bag/Nose Bag"" that was in Aaron's possession. Thank you for your business and the opportunity to work with you! It is an, absolute, honor!",Shipping Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",,03/28/2023,,NDA,,0.00,,LA-Rapides-D079D3-D079FD18-D079LE-D079PT-D079SB,Invoice,,,
,04/25/2023,Invoice,1024,Credit Card Processing:Credit Card Processing Fee,,1.00,220.00,220.00,973.84,AEP/SWEPCO - Shreveport,Credit Card Processing Fee,"Customer PO SWEPCO/Verbal. This was delivered by Aaron Norris on April 4th, 2023. While there SWEPCO also purchased the ""Grunt Bag/Nose Bag"" that was in Aaron's possession. Thank you for your business and the opportunity to work with you! It is an, absolute, honor!",Credit Card Processing Fee Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",Credit Card Processing Fee,03/28/2023,,NDA,4%,0.00,,LA-Rapides-D079D3-D079FD18-D079LE-D079PT-D079SB,Invoice,,,Credit Card Processing Fee
,04/25/2023,Invoice,1024,Tooling and Equipment:FlexPro Armor Covers:Grunt Bag/Nose Bag (Canvas),"Boss Products - Grunt Bag/Nose Bag - Canvas w/ Embroidered Logo. (Product Number: ""AC-GB1512"")",1.00,89.75,89.75,"1,063.59",AEP/SWEPCO - Shreveport,NU Sold Products,"Customer PO SWEPCO/Verbal. This was delivered by Aaron Norris on April 4th, 2023. While there SWEPCO also purchased the ""Grunt Bag/Nose Bag"" that was in Aaron's possession. Thank you for your business and the opportunity to work with you! It is an, absolute, honor!",Tooling Sales,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",Grunt Bag/Nose Bag (Canvas),03/28/2023,04/04/2023,NDA,AC-GB1512,3.99,,LA-Rapides-D079D3-D079FD18-D079LE-D079PT-D079SB,Invoice,,,NU Sold Products
,05/15/2023,Invoice,1026,Training & Services:Training & Services - Travel & Expense Day 2,Training,2.00,"1,520.00","3,040.00","4,103.59",AEP/SWEPCO - Shreveport,,"Skylift Patriot 50 In-Service and SDP 55MLP Training for SWEPCO, provided by Aaron C. Norris from Norris Utilities. Training and travel days were from 4/3/23 to 4/6/23. We appreciate you entrusting your team and your needs with us!",Services,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",Training & Services - Travel & Expense Day 2,,04/04/2023,,SWEPCO - T&S Day 2,0.00,,LA-Rapides-D079D3-D079FD18-D079LE-D079PT-D079SB,Invoice,,,
,05/15/2023,Invoice,1026,Training & Services:Training & Services - Travel & Expense Day 3,,2.00,280.00,560.00,"4,663.59",AEP/SWEPCO - Shreveport,,"Skylift Patriot 50 In-Service and SDP 55MLP Training for SWEPCO, provided by Aaron C. Norris from Norris Utilities. Training and travel days were from 4/3/23 to 4/6/23. We appreciate you entrusting your team and your needs with us!",Services,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",Training & Services - Travel & Expense Day 3,,04/03/2023,,SWEPCO - T&S Day 3,0.00,,LA-Rapides-D079D3-D079FD18-D079LE-D079PT-D079SB,Invoice,,,
,05/15/2023,Invoice,1026,Training & Services:Training & Services - Travel & Expense Day 4,,4.00,325.00,"1,300.00","5,963.59",AEP/SWEPCO - Shreveport,,"Skylift Patriot 50 In-Service and SDP 55MLP Training for SWEPCO, provided by Aaron C. Norris from Norris Utilities. Training and travel days were from 4/3/23 to 4/6/23. We appreciate you entrusting your team and your needs with us!",Services,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",Training & Services - Travel & Expense Day 4,,04/06/2023,,SWEPCO - T&S Day 4,0.00,,LA-Rapides-D079D3-D079FD18-D079LE-D079PT-D079SB,Invoice,,,
,06/22/2023,Invoice,1033,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""","Boss Products 1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",5.00,135.00,675.00,"6,638.59",AEP/SWEPCO - Shreveport,NU Sold Products,"Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!Integrity above all else. Business Partners, simplified.Norris Utilities - A Legacy of Commitment",Sales of Product Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA","FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",06/16/2023,,UPS,NU-BC-2834,61.09,,"Shreveport, LA",Invoice,,,NU Sold Products
,06/22/2023,Invoice,1033,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 2-Man Bucket - 28"" x 51""","Boss Products 2-Man Bucket Cover, with 3 rigid panels. Size: 28""x51""",5.00,165.00,825.00,"7,463.59",AEP/SWEPCO - Shreveport,NU Sold Products,"Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!Integrity above all else. Business Partners, simplified.Norris Utilities - A Legacy of Commitment",Tooling Sales,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA","FlexPro Armor Bucket Cover for 2-Man Bucket - 28"" x 51""",06/16/2023,,UPS,NU-BC-2851,74.66,,"Shreveport, LA",Invoice,,,NU Sold Products
,06/22/2023,Invoice,1033,,Shipping,,,164.76,"7,628.35",AEP/SWEPCO - Shreveport,,"Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!Integrity above all else. Business Partners, simplified.Norris Utilities - A Legacy of Commitment",Shipping Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",,06/16/2023,,UPS,,0.00,0.00,,Invoice,,,
,09/05/2023,Invoice,1048,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""","1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",6.00,150.00,900.00,"8,528.35",AEP/SWEPCO - Shreveport,NU Sold Products,"PO: EmailOrder by: Brian RileyThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments* *Credit Card processing fee of 4% will increase slightly, once freight/shipping is factored in... thanks for your understanding!        Integrity above all else. Business Partners, simplified.",Sales of Product Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA","FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",09/05/2023,09/05/2023,UPS,NU-BC-2834,81.45,,"Shreveport, LA",Invoice,,,NU Sold Products
,09/05/2023,Invoice,1048,Credit Card Processing:Credit Card Processing Fee,4% Credit Card Processing Fee,1.00,40.60,40.60,"8,568.95",AEP/SWEPCO - Shreveport,Credit Card Processing Fee,"PO: EmailOrder by: Brian RileyThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments* *Credit Card processing fee of 4% will increase slightly, once freight/shipping is factored in... thanks for your understanding!        Integrity above all else. Business Partners, simplified.",Credit Card Processing Fee Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",Credit Card Processing Fee,09/05/2023,,UPS,4%,3.68,,"Shreveport, LA",Invoice,,,Credit Card Processing Fee
,09/05/2023,Invoice,1048,,Shipping,,,115.00,"8,683.95",AEP/SWEPCO - Shreveport,,"PO: EmailOrder by: Brian RileyThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments* *Credit Card processing fee of 4% will increase slightly, once freight/shipping is factored in... thanks for your understanding!        Integrity above all else. Business Partners, simplified.",Shipping Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",,09/05/2023,,UPS,,0.00,0.00,,Invoice,,,
